id,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,Private_room,Entire_home/apt
0,40.71239,-73.95271,4,2,0.19,1,0,1,0
1,40696.0,-73.91303,4,17,0.66,2,307,1,0
2,40.62707,-74.02816999999997,3,1,0.04,1,87,0,0
3,40.7791,-73.98565,1,4,0.08,1,0,0,1
4,40.75777,-73.93509,1,0,0.0,1,358,1,0
5,40.86271,-73.92872,5,39,1.28,1,12,0,1
6,40.7432,-73.97605,2,0,0.0,3,324,0,0
7,40.72709,-73.95326,3,2,0.11,1,0,0,1
8,40.76735,-73.81801,1,28,0.6,1,363,1,0
9,40.71714,-73.95447,2,80,0.98,1,364,0,0
10,40.67094,-73.97388000000002,3,123,3.01,2,289,0,1
11,40.69752,-73.97419000000002,1,1,0.06,1,0,1,0
12,40.70899,-73.82814,90,0,0.0,1,365,1,0
13,40.65421,-73.96155,2,10,0.93,1,0,0,0
14,40.66155,-73.88916,2,4,4.0,1,96,0,1
15,40.75051,-73.98625,1,27,4.58,2,76,1,0
16,40.67064,-73.9178,1,41,1.57,10,218,1,0
17,40.67106,-73.95463000000002,3,238,2.6,1,297,0,1
18,40.73877,-73.97707,4,1,0.01,3,181,0,1
19,40.74817,-73.98210999999998,2,5,0.18,1,0,0,1
20,40.72811,-73.98453,2,1,0.02,2,0,1,0
21,40.74287,-73.89439,28,3,0.47,15,0,1,0
22,40.71297,-73.98561,1,4,0.09,1,0,0,1
23,40.67893,-73.91014,3,0,0.0,1,89,0,1
24,40.80375,-73.95501,2,20,2.02,1,11,0,1
25,40.76414000000001,-73949.0,4,3,0.43,2,362,1,0
26,40.86663,-73.92390999999998,2,4,0.13,1,0,0,1
27,40.77649,-73988.0,1,1,1.0,1,36,1,0
28,40.74902,-73.94066,3,145,2.33,1,32,1,0
29,40.75449,-73.98737,1,0,0.0,13,312,1,0
30,40.77796,-73.98213,275,0,0.0,1,365,1,0
31,40.79417,-73.94376,31,235,3.14,2,84,0,1
32,40.72126,-73.98482,1,76,1.65,1,0,0,1
33,40.75886,-73.96374,60,0,0.0,2,64,1,0
34,40.71933,-73.84984,2,21,0.57,2,363,1,0
35,40.63424000000001,-74.00556,1,12,1.3,7,364,1,0
36,40.71322,-73.94022,2,6,0.25,1,0,1,0
37,40.8217,-73.93751,2,36,3.17,1,218,1,0
38,40.66727,-73.95274,4,1,0.03,1,0,1,0
39,40.68612,-73.99024,1,1,1.0,1,264,1,0
40,40.67023,-73.95257,1,0,0.0,1,0,0,1
41,40.82292,-73.95598000000003,30,0,0.0,3,338,1,0
42,40.66155,-73.94579,13,109,1.66,1,15,0,1
43,40.71668,-73.80588,1,13,4.15,1,359,0,1
44,40.67414,-73.99961,4,5,0.63,1,10,0,1
45,40.6997,-73.91305,3,6,0.33,1,2,0,1
46,40.76022,-73.96607,1,2,1.62,1,356,0,1
